,Date,Open,High,Low,Close,Adj Close,Volume,USDT Marketcap,USDT Volume,USDT Change
0,2015-06-27,243.55,251.34,243.12,250.99,250.99,20488600,451600,13601,
1,2015-06-28,250.96,251.17,247.43,249.01,249.01,15137600,451600,1353,0.0
2,2015-06-29,248.72,257.17,248.58,257.06,257.06,34742900,451600,240065,0.0
3,2015-06-30,257.04,267.87,255.95,263.07,263.07,44533800,451600,226186,0.0
4,2015-07-01,263.35,265.17,255.77,258.62,258.62,27029800,451600,7802,0.0
5,2015-07-02,258.55,261.63,254.12,255.41,255.41,21551900,451600,33422,0.0
6,2015-07-03,255.46,257.08,253.51,256.34,256.34,19033800,451600,2568,0.0
7,2015-07-04,256.49,261.46,254.2,260.89,260.89,15620400,451600,11351,0.0
8,2015-07-05,260.8,274.51,258.7,271.91,271.91,44156100,451600,393,0.0
9,2015-07-06,271.11,277.42,267.6,269.03,269.03,49154800,451600,368,0.0
10,2015-07-07,269.96,271.34,264.83,266.21,266.21,28857600,451600,20006,0.0
11,2015-07-08,265.98,272.97,264.39,270.79,270.79,36980200,451600,231885,0.0
12,2015-07-09,270.83,272.33,267.09,269.23,269.23,40301200,451600,468361,0.0
13,2015-07-10,269.16,294.59,268.8,284.89,284.89,100390000,451600,1895,0.0
14,2015-07-11,284.88,298.51,283.53,293.11,293.11,41109900,451600,2313,0.0
15,2015-07-12,293.14,314.39,292.51,310.87,310.87,56405000,451600,668371,0.0
16,2015-07-13,310.83,310.95,281.01,292.05,292.05,62053900,451600,673,0.0
17,2015-07-14,292.03,296.15,286.64,287.46,287.46,28727200,451600,373659,0.0
18,2015-07-15,288.05,293.25,285.37,285.83,285.83,27486600,451600,101760,0.0
19,2015-07-16,286.04,291.18,275.24,278.09,278.09,49482600,451600,10028,0.0
20,2015-07-17,278.09,280.28,272.04,279.47,279.47,27591400,451600,1416,0.0
21,2015-07-18,279.33,282.53,274.08,274.9,274.9,25187100,451600,13017,0.0
22,2015-07-19,274.77,275.67,272.51,273.61,273.61,15332500,451600,1546,0.0
23,2015-07-20,273.5,278.98,272.96,278.98,278.98,22711400,451600,652762,0.0
24,2015-07-21,278.88,280.55,275.42,275.83,275.83,22930700,451600,10778,0.0
25,2015-07-22,275.66,277.67,274.38,277.22,277.22,19389800,451600,32117,0.0
